key,parent_key,has_parent
SPARK-10568,,0
SPARK-10569,,0
SPARK-10570,,0
SPARK-10572,,0
SPARK-10571,,0
SPARK-10573,,0
SPARK-10574,SPARK-13964,1
SPARK-10575,,0
SPARK-1057,,0
SPARK-10576,,0
SPARK-10577,,0
SPARK-10578,,0
SPARK-10580,SPARK-11806,1
SPARK-10579,,0
SPARK-1058,,0
SPARK-10581,,0
SPARK-10583,,0
SPARK-10584,,0
SPARK-10582,,0
SPARK-10585,,0
SPARK-10586,,0
SPARK-10587,,0
SPARK-10589,,0
SPARK-10588,,0
SPARK-1059,,0
SPARK-10590,,0
SPARK-10591,,0
SPARK-10593,,0
SPARK-10592,,0
SPARK-10594,,0
SPARK-10596,,0
SPARK-10595,,0
SPARK-10597,,0
SPARK-10598,,0
SPARK-10599,,0
SPARK-1060,,0
SPARK-10600,,0
SPARK-10601,,0
SPARK-10602,SPARK-10384,1
SPARK-10603,SPARK-10384,1
SPARK-10605,,0
SPARK-10604,SPARK-10384,1
SPARK-10606,,0
SPARK-10607,,0
SPARK-10608,,0
SPARK-10609,,0
SPARK-1061,,0
SPARK-10610,,0
SPARK-10611,,0
SPARK-10612,SPARK-9983,1
SPARK-10613,,0
SPARK-10614,,0
SPARK-10615,,0
SPARK-10616,,0
SPARK-10617,,0
SPARK-10618,,0
SPARK-10619,,0
SPARK-1062,,0
SPARK-10620,,0
SPARK-10621,SPARK-11503,1
SPARK-10623,,0
SPARK-10622,,0
SPARK-10624,,0
SPARK-10627,,0
SPARK-10626,,0
SPARK-10625,,0
SPARK-10629,,0
SPARK-10628,,0
SPARK-1063,,0
SPARK-10630,,0
SPARK-10631,,0
SPARK-10632,,0
SPARK-10633,,0
SPARK-10634,,0
SPARK-10635,,0
SPARK-10636,,0
SPARK-10638,,0
SPARK-10637,,0
SPARK-10639,,0
SPARK-1064,SPARK-1101,1
SPARK-10641,SPARK-10384,1
SPARK-10640,,0
SPARK-10642,,0
SPARK-10643,,0
SPARK-10645,SPARK-10385,1
SPARK-10644,,0
SPARK-10646,SPARK-10385,1
SPARK-10648,,0
SPARK-10647,,0
SPARK-10649,,0
SPARK-1065,,0
SPARK-10650,,0
SPARK-10651,,0
SPARK-10652,,0
SPARK-10654,,0
SPARK-10653,,0
SPARK-10655,,0
SPARK-10657,,0
SPARK-10656,,0
SPARK-10658,,0
SPARK-10659,,0
SPARK-1066,,0
SPARK-10660,,0
SPARK-10661,,0
SPARK-10662,,0
SPARK-10663,,0
SPARK-10664,,0
SPARK-10666,,0
SPARK-10665,SPARK-9983,1
SPARK-10668,,0
SPARK-10667,,0
SPARK-10669,,0
SPARK-1067,,0
SPARK-10670,,0
SPARK-10671,,0
SPARK-10672,,0
SPARK-10673,,0
SPARK-10676,,0
SPARK-10674,,0
SPARK-10675,,0
SPARK-10678,,0
SPARK-10677,,0
SPARK-10679,,0
SPARK-1068,,0
SPARK-10681,,0
SPARK-10680,,0
SPARK-10682,,0
SPARK-10683,,0
SPARK-10687,,0
SPARK-10686,,0
SPARK-10685,,0
SPARK-10684,,0
SPARK-10688,,0
SPARK-10689,,0
SPARK-1069,SPARK-1093,1
SPARK-10690,,0
SPARK-10691,,0
SPARK-10692,,0
SPARK-10693,,0
SPARK-10696,,0
SPARK-10695,,0
SPARK-10694,,0
SPARK-10697,,0
SPARK-10698,,0
SPARK-10699,,0
SPARK-1070,,0
SPARK-10700,,0
SPARK-10701,,0
SPARK-10702,,0
SPARK-10703,,0
SPARK-10704,SPARK-7271,1
